iter	Passed	Remaining
220	1150	4056
221	1155	4049
222	1160	4043
223	1166	4039
224	1171	4034
225	1176	4029
226	1182	4027
227	1187	4020
228	1193	4016
229	1197	4010
230	1202	4003
231	1207	3996
232	1212	3990
233	1217	3983
234	1221	3977
235	1226	3971
236	1231	3963
237	1235	3956
238	1240	3950
239	1245	3943
240	1250	3937
241	1255	3931
242	1259	3924
243	1264	3917
244	1269	3910
245	1273	3903
246	1278	3896
247	1283	3890
248	1287	3884
249	1292	3877
250	1297	3872
251	1303	3867
252	1308	3862
253	1313	3856
254	1317	3850
255	1322	3843
256	1327	3836
257	1333	3834
258	1338	3829
259	1343	3825
260	1349	3822
261	1354	3815
262	1360	3811
263	1365	3805
264	1369	3799
265	1374	3793
266	1379	3787
267	1384	3780
268	1388	3773
269	1393	3767
270	1398	3760
271	1402	3754
272	1407	3748
273	1412	3741
274	1416	3735
275	1421	3728
276	1426	3722
277	1430	3715
278	1435	3709
279	1440	3702
280	1444	3697
281	1449	3690
282	1454	3684
283	1458	3678
284	1463	3671
285	1468	3665
286	1472	3658
287	1477	3652
288	1482	3646
289	1486	3639
290	1491	3633
291	1496	3627
292	1500	3621
293	1505	3615
294	1511	3612
295	1516	3607
296	1521	3601
297	1527	3597
298	1533	3594
299	1537	3588
300	1543	3584
301	1548	3578
302	1552	3571
303	1557	3566
304	1562	3560
305	1567	3554
306	1571	3548
307	1576	3542
308	1581	3536
309	1586	3530
310	1590	3524
311	1595	3518
312	1600	3512
313	1604	3505
314	1609	3499
315	1613	3493
316	1618	3487
317	1623	3481
318	1627	3474
319	1632	3468
320	1636	3462
321	1641	3456
322	1646	3450
323	1650	3444
324	1655	3438
325	1660	3432
326	1664	3426
327	1669	3420
328	1674	3414
329	1678	3408
330	1684	3405
331	1690	3400
332	1695	3396
333	1700	3391
334	1705	3386
335	1711	3381
336	1716	3375
337	1720	3369
338	1725	3364
339	1730	3358
340	1735	3352
341	1740	3347
342	1744	3341
343	1749	3336
344	1754	3330
345	1759	3325
346	1763	3319
347	1768	3313
348	1773	3307
349	1778	3302
350	1783	3296
351	1787	3290
352	1792	3284
353	1796	3278
354	1801	3272
355	1805	3266
356	1810	3261
357	1815	3255
358	1819	3249
359	1824	3244
360	1829	3238
361	1834	3232
362	1838	3226
363	1843	3221
364	1854	3225
365	1860	3223
366	1865	3217
367	1870	3211
368	1875	3206
369	1879	3201
370	1884	3195
371	1889	3189
372	1894	3184
373	1899	3179
374	1904	3173
375	1908	3167
376	1913	3162
377	1918	3156
378	1923	3151
379	1927	3145
380	1932	3140
381	1937	3134
382	1942	3128
383	1946	3122
384	1951	3117
385	1956	3112
386	1961	3107
387	1966	3102
388	1971	3096
389	1976	3090
390	1980	3085
391	1985	3079
392	1990	3073
393	1995	3068
394	1999	3062
395	2004	3057
396	2009	3051
397	2014	3047
398	2020	3042
399	2025	3038
400	2031	3034
401	2036	3028
402	2041	3024
403	2046	3018
404	2050	3013
405	2055	3007
406	2060	3002
407	2065	2996
408	2069	2991
409	2074	2985
410	2079	2979
411	2084	2974
412	2088	2968
413	2093	2963
414	2098	2957
415	2103	2953
416	2108	2947
417	2112	2941
418	2117	2936
419	2122	2931
420	2127	2925
421	2132	2920
